"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-3.1775e-14,0,1e+05,-3.638e-16,300,695.43,-2.7364e-14,0,1,0.1525,0.1525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.8221e-14,0,1e+05,-3.638e-16,300,695.43,-2.4303e-14,0,1,0.155,0.155,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.4666e-14,0,1e+05,-3.638e-16,300,695.43,-2.1242e-14,0,1,0.1575,0.1575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.1112e-14,0,1e+05,-3.638e-16,300,695.43,-1.8181e-14,0,1,0.16,0.16,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1705e-14,0,1e+05,-3.6055e-16,300,695.43,-1.008e-14,0,1,0.1625,0.1625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.2974e-15,0,1e+05,-3.573e-16,300,695.43,-1.9785e-15,0,1,0.165,0.165,0.5,0
1.1612,5.3079e+05,2.0028,807.54,7.1098e-15,0,1e+05,-3.5405e-16,300,695.43,6.1228e-15,0,1,0.1675,0.1675,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.6517e-14,0,1e+05,-3.5081e-16,300,695.43,1.4224e-14,0,1,0.17,0.17,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.5924e-14,0,1e+05,-3.4756e-16,300,695.43,2.2325e-14,0,1,0.1725,0.1725,0.5,0
1.1612,5.3079e+05,2.0028,807.54,3.5331e-14,0,1e+05,-3.4431e-16,300,695.43,3.0426e-14,0,1,0.175,0.175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.4739e-14,0,1e+05,-3.4106e-16,300,695.43,3.8528e-14,0,1,0.1775,0.1775,0.5,0
1.1612,5.3079e+05,2.0028,807.54,5.4146e-14,0,1e+05,-3.3781e-16,300,695.43,4.6629e-14,0,1,0.18,0.18,0.5,0
1.1612,5.3079e+05,2.0028,807.54,6.5046e-14,0,1e+05,-2.5011e-16,300,695.43,5.6016e-14,0,1,0.1825,0.1825,0.5,0
1.1612,5.3079e+05,2.0028,807.54,7.5945e-14,0,1e+05,-1.6241e-16,300,695.43,6.5402e-14,0,1,0.185,0.185,0.5,0
1.1612,5.3079e+05,2.0028,807.54,8.6845e-14,0,1e+05,-7.4709e-17,300,695.43,7.4789e-14,0,1,0.1875,0.1875,0.5,0
1.1612,5.3079e+05,2.0028,807.54,9.7745e-14,0,1e+05,1.2993e-17,300,695.43,8.4176e-14,0,1,0.19,0.19,0.5,0
